ad_id,campaign_name,platform,impressions,clicks,conversions,cost,age_group,location,device,date,ctr,cpc,conversion_rate,cpm,cpa,perf_score,month,day_of_week,week,account
19,Product Launch,Instagram,61000,2745,220.0,1950.0,18-24,Denver,Mobile,2024-06-10,0.045,0.7103825136612022,0.08014571948998178,31.967213114754095,8.863636363636363,52.5,6,0,24,hamsa
20,Retargeting B,Google,38000,1140,103.0,1300.0,45-54,Nashville,Desktop,2024-06-10,0.03,1.1403508771929824,0.09035087719298246,34.21052631578947,12.62135922330097,31.77,6,0,24,hamsa
21,Holiday Promo,Facebook,58000,2610,209.0,1850.0,25-34,Oklahoma City,Mobile,2024-06-11,0.045,0.7088122605363985,0.08007662835249042,31.896551724137932,8.851674641148325,52.52,6,1,24,hamsa
22,Brand Awareness,Google,102000,2550,127.0,3400.0,35-44,El Paso,Desktop,2024-06-11,0.025,1.3333333333333333,0.04980392156862745,33.333333333333336,26.771653543307085,11.5,6,1,24,hamsa
23,Summer Sale,Facebook,71000,2840,227.0,2100.0,18-24,Washington DC,Mobile,2024-06-12,0.04,0.7394366197183099,0.07992957746478874,29.577464788732392,9.251101321585903,45.93,6,2,24,hamsa
24,Product Launch,YouTube,88000,3520,281.0,2400.0,25-34,Boston,Desktop,2024-06-12,0.04,0.6818181818181818,0.07982954545454546,27.27272727272727,8.540925266903914,47.29,6,2,24,hamsa
25,Retargeting A,Instagram,43000,1935,155.0,1400.0,25-34,Memphis,Mobile,2024-06-13,0.045,0.7235142118863049,0.08010335917312661,32.55813953488372,9.03225806451613,52.18,6,3,24,hamsa
26,Holiday Promo,TikTok,132000,5415,425.5,2400.0,18-24,Louisville,Mobile,2024-06-13,0.04102272727272727,0.44321329639889195,0.07857802400738689,18.18181818181818,5.640423031727379,57.58,6,3,24,hamsa
27,Brand Awareness,YouTube,65000,2600,156.0,2200.0,35-44,Portland,Desktop,2024-06-14,0.04,0.8461538461538461,0.06,33.84615384615385,14.102564102564102,37.53,6,4,24,hamsa
28,Summer Sale,Google,79000,2370,190.0,2700.0,25-34,Las Vegas,Desktop,2024-06-14,0.03,1.139240506329114,0.08016877637130802,34.17721518987342,14.210526315789474,28.55,6,4,24,hamsa
29,Product Launch,Facebook,44000,1760,141.0,1350.0,18-24,Milwaukee,Mobile,2024-06-15,0.04,0.7670454545454546,0.08011363636363636,30.68181818181818,9.574468085106384,45.4,6,5,24,hamsa
30,Retargeting B,Instagram,37000,1665,133.0,1200.0,35-44,Albuquerque,Mobile,2024-06-15,0.045,0.7207207207207207,0.07987987987987988,32.432432432432435,9.022556390977444,52.17,6,5,24,hamsa
31,Holiday Promo,Google,91000,2730,218.0,3100.0,25-34,Tucson,Desktop,2024-06-16,0.03,1.1355311355311355,0.07985347985347985,34.065934065934066,14.220183486238533,28.48,6,6,24,hamsa
32,Brand Awareness,Facebook,49000,1960,157.0,1550.0,18-24,Fresno,Mobile,2024-06-16,0.04,0.7908163265306123,0.08010204081632653,31.632653061224488,9.872611464968152,44.92,6,6,24,hamsa
33,Summer Sale,TikTok,115000,5415,425.5,2100.0,18-24,Sacramento,Mobile,2024-06-17,0.04708695652173913,0.3878116343490305,0.07857802400738689,18.260869565217394,4.9353701527614575,68.48,6,0,25,hamsa
34,Product Launch,LinkedIn,16000,320,26.0,1100.0,45-54,Mesa,Desktop,2024-06-17,0.02,3.4375,0.08125,68.75,42.30769230769231,9.99,6,0,25,hamsa
35,Retargeting A,Google,52000,1560,140.0,1750.0,35-44,Kansas City,Desktop,2024-06-18,0.03,1.1217948717948718,0.08974358974358974,33.65384615384615,12.5,31.76,6,1,25,hamsa
36,Holiday Promo,Instagram,72000,3240,259.0,2200.0,18-24,Atlanta,Mobile,2024-06-18,0.045,0.6790123456790124,0.07993827160493827,30.555555555555554,8.494208494208495,53.23,6,1,25,hamsa
37,Brand Awareness,Twitter,28000,840,50.0,750.0,25-34,Omaha,Mobile,2024-06-19,0.03,0.8928571428571429,0.05952380952380952,26.785714285714285,15.0,24.95,6,2,25,hamsa
38,Summer Sale,YouTube,93000,3720,298.0,3100.0,25-34,Colorado Springs,Desktop,2024-06-19,0.04,0.8333333333333334,0.08010752688172043,33.333333333333336,10.40268456375839,44.13,6,2,25,hamsa
39,Product Launch,Google,83000,2490,199.0,2800.0,25-34,Raleigh,Desktop,2024-06-20,0.03,1.1244979919678715,0.07991967871485944,33.734939759036145,14.07035175879397,28.61,6,3,25,hamsa
40,Retargeting B,Facebook,27000,1350,108.0,850.0,45-54,Virginia Beach,Mobile,2024-06-20,0.05,0.6296296296296297,0.08,31.481481481481477,7.87037037037037,60.48,6,3,25,hamsa
41,Holiday Promo,YouTube,77000,3080,246.0,2600.0,25-34,Long Beach,Desktop,2024-06-21,0.04,0.8441558441558441,0.07987012987012987,33.76623376623376,10.56910569105691,43.87,6,4,25,hamsa
42,Brand Awareness,TikTok,158000,5415,425.5,2900.0,18-24,Minneapolis,Mobile,2024-06-21,0.03427215189873418,0.5355493998153278,0.07857802400738689,18.354430379746837,6.81551116333725,45.04,6,4,25,hamsa
43,Summer Sale,Instagram,85000,3825,306.0,2700.0,18-24,Tampa,Mobile,2024-06-22,0.045,0.7058823529411765,0.08,31.76470588235294,8.823529411764707,52.57,6,5,25,hamsa
44,Product Launch,Twitter,22000,660,40.0,580.0,25-34,New Orleans,Mobile,2024-06-22,0.03,0.8787878787878788,0.06060606060606061,26.363636363636363,14.5,25.52,6,5,25,hamsa
45,Retargeting A,Instagram,46000,2070,166.0,1500.0,35-44,Arlington,Mobile,2024-06-23,0.045,0.7246376811594203,0.08019323671497584,32.608695652173914,9.036144578313253,52.18,6,6,25,hamsa
46,Holiday Promo,Facebook,64000,2880,230.0,2050.0,25-34,Bakersfield,Mobile,2024-06-23,0.045,0.7118055555555556,0.0798611111111111,32.03125,8.91304347826087,52.38,6,6,25,hamsa
47,Brand Awareness,Google,110000,2750,138.0,3700.0,35-44,Honolulu,Desktop,2024-06-24,0.025,1.3454545454545455,0.05018181818181818,33.63636363636364,26.81159420289855,11.54,6,0,26,hamsa
48,Summer Sale,Facebook,76000,3040,243.0,2300.0,18-24,Anaheim,Mobile,2024-06-24,0.04,0.756578947368421,0.07993421052631579,30.263157894736842,9.465020576131687,45.56,6,0,26,hamsa
49,Product Launch,Instagram,68000,3060,245.0,2100.0,18-24,Aurora,Mobile,2024-06-25,0.045,0.6862745098039216,0.08006535947712418,30.88235294117647,8.571428571428571,53.08,6,1,26,hamsa
50,Retargeting B,Google,45000,1350,122.0,1550.0,45-54,Santa Ana,Desktop,2024-06-25,0.03,1.1481481481481481,0.09037037037037036,34.44444444444444,12.704918032786885,31.7,6,1,26,hamsa
51,Holiday Promo,TikTok,141000,5415,425.5,2600.0,18-24,Corpus Christi,Mobile,2024-06-26,0.038404255319148935,0.4801477377654663,0.07857802400738689,18.439716312056735,6.110458284371328,52.45,6,2,26,hamsa
52,Brand Awareness,YouTube,70000,2800,168.0,2350.0,35-44,Riverside,Desktop,2024-06-26,0.04,0.8392857142857143,0.06,33.57142857142857,13.988095238095237,37.64,6,2,26,hamsa
53,Summer Sale,Google,86000,2580,206.0,2950.0,25-34,St. Louis,Desktop,2024-06-27,0.03,1.1434108527131783,0.07984496124031008,34.30232558139535,14.320388349514563,28.41,6,3,26,hamsa
54,Product Launch,Facebook,40000,1600,128.0,1250.0,18-24,Lexington,Mobile,2024-06-27,0.04,0.78125,0.08,31.25,9.765625,45.07,6,3,26,hamsa
55,Retargeting A,TikTok,108000,5400,425.5,1950.0,18-24,Pittsburgh,Mobile,2024-06-28,0.05,0.3611111111111111,0.0787962962962963,18.055555555555554,4.582843713278496,74.21,6,4,26,hamsa
56,Holiday Promo,Instagram,79000,3555,284.0,2400.0,18-24,Anchorage,Mobile,2024-06-28,0.045,0.6751054852320675,0.07988748241912799,30.379746835443036,8.450704225352112,53.31,6,4,26,hamsa
57,Brand Awareness,Facebook,53000,2120,170.0,1680.0,25-34,Stockton,Mobile,2024-06-29,0.04,0.7924528301886793,0.08018867924528301,31.698113207547166,9.882352941176471,44.91,6,5,26,hamsa
58,Summer Sale,TikTok,124000,5415,425.5,2300.0,18-24,Cincinnati,Mobile,2024-06-29,0.04366935483870968,0.4247460757156048,0.07857802400738689,18.548387096774192,5.405405405405405,61.83,6,5,26,hamsa
59,Product Launch,YouTube,97000,3880,310.0,3200.0,25-34,St. Paul,Desktop,2024-06-30,0.04,0.8247422680412371,0.07989690721649484,32.98969072164949,10.32258064516129,44.22,6,6,26,hamsa
60,Retargeting B,Instagram,50000,2250,180.0,1650.0,35-44,Toledo,Mobile,2024-06-30,0.045,0.7333333333333333,0.08,33.0,9.166666666666666,51.92,6,6,26,hamsa
